; CSV file generated by FPGA Logic Analyzer
; Sample Rate: 1000000 Hz
; Channels: 8, Samples: 49152
;
time,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
0.000000000,1,1,1,1,1,1,1,1
0.000001000,1,1,1,1,1,1,1,1
0.000002000,1,1,1,1,1,1,1,1
0.000003000,1,1,1,1,1,1,1,1
0.000004000,1,1,1,1,1,1,1,1
0.000005000,1,1,1,1,1,1,1,1
0.000006000,1,1,1,1,1,1,1,1
0.000007000,1,1,1,1,1,1,1,1
0.000008000,1,1,1,1,1,1,1,1
0.000009000,1,1,1,1,1,1,1,1
0.000010000,1,1,1,1,1,1,1,1
0.000011000,1,1,1,1,1,1,1,1
0.000012000,1,1,1,1,1,1,1,1
0.000013000,1,1,1,1,1,1,1,1
0.000014000,1,1,1,1,1,1,1,1
0.000015000,1,1,1,1,1,1,1,1
0.000016000,1,1,1,1,1,1,1,1
0.000017000,1,1,1,1,1,1,1,1
0.000018000,1,1,1,1,1,1,1,1
0.000019000,1,1,1,1,1,1,1,1
0.000020000,1,1,1,1,1,1,1,1
0.000021000,1,1,1,1,1,1,1,1
0.000022000,1,1,1,1,1,1,1,1
0.000023000,1,1,1,1,1,1,1,1
0.000024000,1,1,1,1,1,1,1,1
0.000025000,1,1,1,1,1,1,1,1
0.000026000,1,1,1,1,1,1,1,1
0.000027000,1,1,1,1,1,1,1,1
0.000028000,1,1,1,1,1,1,1,1
0.000029000,1,1,1,1,1,1,1,1
0.000030000,1,1,1,1,1,1,1,1
0.000031000,1,1,1,1,1,1,1,1
0.000032000,1,1,1,1,1,1,1,1
0.000033000,1,1,1,1,1,1,1,1
0.000034000,1,1,1,1,1,1,1,1
0.000035000,1,1,1,1,1,1,1,1
0.000036000,1,1,1,1,1,1,1,1
0.000037000,1,1,1,1,1,1,1,1
0.000038000,1,1,1,1,1,1,1,1
0.000039000,1,1,1,1,1,1,1,1
0.000040000,1,1,1,1,1,1,1,1
0.000041000,1,1,1,1,1,1,1,1
0.000042000,1,1,1,1,1,1,1,1
0.000043000,1,1,1,1,1,1,1,1
0.000044000,1,1,1,1,1,1,1,1
0.000045000,1,1,1,1,1,1,1,1
0.000046000,1,1,1,1,1,1,1,1
0.000047000,1,1,1,1,1,1,1,1
0.000048000,1,1,1,1,1,1,1,1
0.000049000,1,1,1,1,1,1,1,1
0.000050000,1,1,1,1,1,1,1,1
0.000051000,1,1,1,1,1,1,1,1
0.000052000,1,1,1,1,1,1,1,1
0.000053000,1,1,1,1,1,1,1,1
0.000054000,1,1,1,1,1,1,1,1
0.000055000,1,1,1,1,1,1,1,1
0.000056000,1,1,1,1,1,1,1,1
0.000057000,1,1,1,1,1,1,1,1
0.000058000,1,1,1,1,1,1,1,1
0.000059000,1,1,1,1,1,1,1,1
0.000060000,1,1,1,1,1,1,1,1
0.000061000,1,1,1,1,1,1,1,1
0.000062000,1,1,1,1,1,1,1,1
0.000063000,1,1,1,1,1,1,1,1
0.000064000,1,1,1,1,1,1,1,1
0.000065000,1,1,1,1,1,1,1,1
0.000066000,1,1,1,1,1,1,1,1
0.000067000,1,1,1,1,1,1,1,1
0.000068000,1,1,1,1,1,1,1,1
0.000069000,1,1,1,1,1,1,1,1
0.000070000,1,1,1,1,1,1,1,1
0.000071000,1,1,1,1,1,1,1,1
0.000072000,1,1,1,1,1,1,1,1
0.000073000,1,1,1,1,1,1,1,1
0.000074000,1,1,1,1,1,1,1,1
0.000075000,1,1,1,1,1,1,1,1
0.000076000,1,1,1,1,1,1,1,1
0.000077000,1,1,1,1,1,1,1,1
0.000078000,1,1,1,1,1,1,1,1
0.000079000,1,1,1,1,1,1,1,1
0.000080000,1,1,1,1,1,1,1,1
0.000081000,1,1,1,1,1,1,1,1
0.000082000,1,1,1,1,1,1,1,1
0.000083000,1,1,1,1,1,1,1,1
0.000084000,1,1,1,1,1,1,1,1
0.000085000,1,1,1,1,1,1,1,1
0.000086000,1,1,1,1,1,1,1,1
0.000087000,1,1,1,1,1,1,1,1
0.000088000,1,1,1,1,1,1,1,1
0.000089000,1,1,1,1,1,1,1,1
0.000090000,1,1,1,1,1,1,1,1
0.000091000,1,1,1,1,1,1,1,1
0.000092000,1,1,1,1,1,1,1,1
0.000093000,1,1,1,1,1,1,1,1
0.000094000,1,1,1,1,1,1,1,1
0.000095000,1,1,1,1,1,1,1,1
0.000096000,1,1,1,1,1,1,1,1
0.000097000,1,1,1,1,1,1,1,1
0.000098000,1,1,1,1,1,1,1,1
0.000099000,1,1,1,1,1,1,1,1
0.000100000,1,1,1,1,1,1,1,1
0.000101000,1,1,1,1,1,1,1,1
0.000102000,1,1,1,1,1,1,1,1
0.000103000,1,1,1,1,1,1,1,1
0.000104000,1,1,1,1,1,1,1,1
0.000105000,1,1,1,1,1,1,1,1
0.000106000,1,1,1,1,1,1,1,1
0.000107000,1,1,1,1,1,1,1,1
0.000108000,1,1,1,1,1,1,1,1
0.000109000,1,1,1,1,1,1,1,1
0.000110000,1,1,1,1,1,1,1,1
0.000111000,1,1,1,1,1,1,1,1
0.000112000,1,1,1,1,1,1,1,1
0.000113000,1,1,1,1,1,1,1,1
0.000114000,1,1,1,1,1,1,1,1
0.000115000,1,1,1,1,1,1,1,1
0.000116000,1,1,1,1,1,1,1,1
0.000117000,1,1,1,1,1,1,1,1
0.000118000,1,1,1,1,1,1,1,1
0.000119000,1,1,1,1,1,1,1,1
0.000120000,1,1,1,1,1,1,1,1
0.000121000,1,1,1,1,1,1,1,1
0.000122000,1,1,1,1,1,1,1,1
0.000123000,1,1,1,1,1,1,1,1
0.000124000,1,1,1,1,1,1,1,1
0.000125000,1,1,1,1,1,1,1,1
0.000126000,1,1,1,1,1,1,1,1
0.000127000,1,1,1,1,1,1,1,1
0.000128000,1,1,1,1,1,1,1,1
0.000129000,1,1,1,1,1,1,1,1
0.000130000,1,1,1,1,1,1,1,1
0.000131000,1,1,1,1,1,1,1,1
0.000132000,1,1,1,1,1,1,1,1
0.000133000,1,1,1,1,1,1,1,1
0.000134000,1,1,1,1,1,1,1,1
0.000135000,1,1,1,1,1,1,1,1
0.000136000,1,1,1,1,1,1,1,1
0.000137000,1,1,1,1,1,1,1,1
0.000138000,1,1,1,1,1,1,1,1
0.000139000,1,1,1,1,1,1,1,1
0.000140000,1,1,1,1,1,1,1,1
0.000141000,1,1,1,1,1,1,1,1
0.000142000,1,1,1,1,1,1,1,1
0.000143000,1,1,1,1,1,1,1,1
0.000144000,1,1,1,1,1,1,1,1
0.000145000,1,1,1,1,1,1,1,1
0.000146000,1,1,1,1,1,1,1,1
0.000147000,1,1,1,1,1,1,1,1
0.000148000,1,1,1,1,1,1,1,1
0.000149000,1,1,1,1,1,1,1,1
0.000150000,1,1,1,1,1,1,1,1
0.000151000,1,1,1,1,1,1,1,1
0.000152000,1,1,1,1,1,1,1,1
0.000153000,1,1,1,1,1,1,1,1
0.000154000,1,1,1,1,1,1,1,1
0.000155000,1,1,1,1,1,1,1,1
0.000156000,1,1,1,1,1,1,1,1
0.000157000,1,1,1,1,1,1,1,1
0.000158000,1,1,1,1,1,1,1,1
0.000159000,1,1,1,1,1,1,1,1
0.000160000,1,1,1,1,1,1,1,1
0.000161000,1,1,1,1,1,1,1,1
0.000162000,1,1,1,1,1,1,1,1
0.000163000,1,1,1,1,1,1,1,1
0.000164000,1,1,1,1,1,1,1,1
0.000165000,1,1,1,1,1,1,1,1
0.000166000,1,1,1,1,1,1,1,1
0.000167000,1,1,1,1,1,1,1,1
0.000168000,1,1,1,1,1,1,1,1
0.000169000,1,1,1,1,1,1,1,1
0.000170000,1,1,1,1,1,1,1,1
0.000171000,1,1,1,1,1,1,1,1
0.000172000,1,1,1,1,1,1,1,1
0.000173000,1,1,1,1,1,1,1,1
0.000174000,1,1,1,1,1,1,1,1
0.000175000,1,1,1,1,1,1,1,1
0.000176000,1,1,1,1,1,1,1,1
0.000177000,1,1,1,1,1,1,1,1
